tag         MetaClient             MetaService
1.1.57      1.1.32                 0.9.41
1.1.58      1.1.32                 0.9.41
1.1.59      1.1.32                 0.9.41
1.1.60      1.1.32                 0.9.41
1.1.61      1.1.32                 0.9.41
1.1.62      1.1.32                 0.9.41
1.1.63      1.1.32                 0.9.41
1.1.64      1.1.32                 0.9.41
1.1.65      1.1.32                 0.9.41
1.1.66      1.1.32                 0.9.41
1.1.67      1.1.32                 0.9.41
1.1.68      1.1.32                 0.9.41
1.1.69      1.1.32                 0.9.41
1.1.70      1.1.32                 0.9.41
1.1.71      1.1.32                 0.9.41
1.1.72      1.1.32                 0.9.41
1.1.73      1.1.32                 0.9.41
1.1.74      1.1.32                 0.9.41
1.1.75      1.1.32                 0.9.41
1.1.76      1.1.32                 0.9.41
1.2.0       1.1.32                 0.9.41
1.2.1       1.1.32                 0.9.41
1.2.2       1.1.32                 0.9.41
1.2.3       1.1.32                 0.9.41
1.2.4       1.1.32                 0.9.41
1.2.5       1.1.32                 0.9.41
tag         MetaClient             MetaService
-------------------------------------------------------------------------
1.2.6       1.1.32                 0.9.41
1.2.7       1.1.32                 0.9.41
1.2.8       1.1.32                 0.9.41
1.2.9       1.1.32                 0.9.41
1.2.10      1.1.32                 0.9.41
1.2.11      1.1.32                 0.9.41
1.2.12      1.1.32                 0.9.41
1.2.13      1.1.32                 0.9.41
1.2.14      1.1.32                 0.9.41
1.2.15      1.1.32                 0.9.41
1.2.16      1.1.32                 0.9.41
1.2.17      1.1.32                 0.9.41
1.2.18      1.1.32                 0.9.41
1.2.19      1.1.32                 0.9.41
1.2.20      1.1.32                 0.9.41
1.2.21      1.1.32                 0.9.41
1.2.22      1.1.32                 0.9.41
1.2.23      1.1.32                 0.9.41
1.2.24      1.1.32                 0.9.41
1.2.25      1.1.32                 0.9.41
1.2.26      1.1.32                 0.9.41
1.2.27      1.1.32                 0.9.41
1.2.28      1.1.32                 0.9.41
1.2.29      1.1.32                 0.9.41
1.2.30      1.1.32                 0.9.41
1.2.31      1.1.32                 0.9.41
1.2.32      1.1.32                 0.9.41
