tag             min_meta_client     min_meta_server     
1.1.30          0.9.41              0.8.35              
1.1.31          0.9.41              0.8.35              
1.1.32          0.9.41              0.8.35              
1.1.33          0.9.41              0.8.35              
1.1.34          0.9.41              1.1.32              
1.1.35          0.9.41              1.1.32              
1.1.36          0.9.41              1.1.32              
1.1.37          0.9.41              1.1.32              
1.1.38          0.9.41              1.1.32              
1.1.39          0.9.41              1.1.32              
1.1.40          0.9.41              1.1.32              
1.1.41          0.9.41              1.1.32              
1.1.42          0.9.41              1.1.32              
1.1.43          0.9.41              1.1.32              
1.1.44          0.9.41              1.1.32              
1.1.45          0.9.41              1.1.32              
1.1.46          0.9.41              1.1.32              
1.1.47          0.9.41              1.1.32              
1.1.48          0.9.41              1.1.32              
1.1.49          0.9.41              1.1.32              
1.1.50          0.9.41              1.1.32              
1.1.51          0.9.41              1.1.32              
1.1.52          0.9.41              1.1.32              
1.1.53          0.9.41              1.1.32              
1.1.54          0.9.41              1.1.32              
1.1.55          0.9.41              1.1.32              
1.1.55          0.9.41              1.1.32              
1.1.55          0.9.41              1.1.32              
1.1.55          0.9.41              1.1.32              
1.1.56          0.9.41              1.1.32              
1.1.57          0.9.41              1.1.32              
1.1.58          0.9.41              1.1.32              
1.1.59          0.9.41              1.1.32              
1.1.60          0.9.41              1.1.32              
1.1.61          0.9.41              1.1.32              
1.1.62          0.9.41              1.1.32              
1.1.63          0.9.41              1.1.32              
1.1.64          0.9.41              1.1.32              
1.1.65          0.9.41              1.1.32              
1.1.66          0.9.41              1.1.32              
1.1.67          0.9.41              1.1.32              
1.1.68          0.9.41              1.1.32              
1.1.69          0.9.41              1.1.32              
1.1.70          0.9.41              1.1.32              
1.1.71          0.9.41              1.1.32              
1.1.72          0.9.41              1.1.32              
1.1.73          0.9.41              1.1.32              
1.1.74          0.9.41              1.1.32              
1.1.75          0.9.41              1.1.32              
1.1.76          0.9.41              1.1.32              
1.2.0           0.9.41              1.1.32              
1.2.1           0.9.41              1.1.32              
1.2.2           0.9.41              1.1.32              
1.2.3           0.9.41              1.1.32              
1.2.4           0.9.41              1.1.32              
1.2.5           0.9.41              1.1.32              
1.2.6           0.9.41              1.1.32              
1.2.7           0.9.41              1.1.32              
1.2.8           0.9.41              1.1.32              
1.2.9           0.9.41              1.1.32              
1.2.10          0.9.41              1.1.32              
1.2.11          0.9.41              1.1.32              
1.2.12          0.9.41              1.1.32              
1.2.13          0.9.41              1.1.32              
1.2.14          0.9.41              1.1.32              
1.2.15          0.9.41              1.1.32              
1.2.16          0.9.41              1.1.32              
1.2.17          0.9.41              1.1.32              
1.2.18          0.9.41              1.1.32              
1.2.19          0.9.41              1.1.32              
1.2.20          0.9.41              1.1.32              
1.2.21          0.9.41              1.1.32              
1.2.22          0.9.41              1.1.32              
1.2.23          0.9.41              1.1.32              
1.2.24          0.9.41              1.1.32              
1.2.25          0.9.41              1.1.32              
1.2.26          0.9.41              1.1.32              
1.2.27          0.9.41              1.1.32              
1.2.28          0.9.41              1.1.32              
1.2.29          0.9.41              1.1.32              
1.2.30          0.9.41              1.1.32              
1.2.31          0.9.41              1.1.32              
1.2.32          0.9.41              1.1.32              
1.2.33          0.9.41              1.1.32              
1.2.34          0.9.41              1.1.32              
1.2.35          0.9.41              1.1.32              
1.2.36          0.9.41              1.1.32              
1.2.37          0.9.41              1.1.32              
1.2.38          0.9.41              1.1.32              
1.2.39          0.9.41              1.1.32              
1.2.40          0.9.41              1.1.32              
1.2.41          0.9.41              1.1.32              
1.2.42          0.9.41              1.1.32              
1.2.43          0.9.41              1.1.32              
1.2.44          0.9.41              1.1.32              
1.2.45          0.9.41              1.1.32              
